order_id,userid,date,year,month,day_of_week,brand_name,product_name,business_category,outlet_type,quantity,amount,total_revenue
10001,10796,2023-07-22,2023,7,Saturday,foodpanda,foodpanda - Meal Deal #026,Food & Restaurants,online,1,2051.07,2051.07
10002,12170,2023-07-20,2023,7,Thursday,foodpanda,foodpanda - Special #251,Food & Restaurants,online,3,1493.13,4479.39
10003,17920,2023-07-10,2023,7,Monday,foodpanda,foodpanda - Combo #143,Food & Restaurants,online,1,2211.89,2211.89
10004,19304,2023-06-24,2023,6,Saturday,Daraz,Daraz - Electronics #693,Market Place,online,2,15000.0,30000.0
10005,278769,2023-05-09,2023,5,Tuesday,Krave Mart,Krave Mart - Fresh Items #914,Stores & Grocery,online,1,3691.5,3691.5
10006,278769,2023-07-11,2023,7,Tuesday,Krave Mart,Krave Mart - Fresh Items #090,Stores & Grocery,online,1,3691.53,3691.53
10007,278769,2023-07-15,2023,7,Saturday,Krave Mart,Krave Mart - Fresh Items #433,Stores & Grocery,online,2,8000.0,16000.0
10008,384674,2023-06-08,2023,6,Thursday,Karachi Fried House,Karachi Fried House - Meal Deal #031,Food & Restaurants,online,3,2348.37,7045.11
10009,384674,2023-06-17,2023,6,Saturday,Karachi Fried House,Karachi Fried House - Meal Deal #224,Food & Restaurants,online,2,1265.25,2530.5
10010,427915,2023-06-21,2023,6,Wednesday,Krave Mart,Krave Mart - Grocery Pack #518,Stores & Grocery,online,2,5443.32,10886.64
10011,427915,2023-06-17,2023,6,Saturday,foodpanda,foodpanda - Family Pack #028,Food & Restaurants,online,2,1269.08,2538.16
10012,427915,2023-06-22,2023,6,Thursday,foodpanda,foodpanda - Family Pack #204,Food & Restaurants,online,2,1267.62,2535.24
10013,427915,2023-06-29,2023,6,Thursday,foodpanda,foodpanda - Family Pack #430,Food & Restaurants,online,1,1805.77,1805.77
10014,429630,2023-06-24,2023,6,Saturday,foodpanda,foodpanda - Combo #460,Food & Restaurants,online,4,614.69,2458.76
10015,431397,2023-06-16,2023,6,Friday,Krave Mart,Krave Mart - Fresh Items #285,Stores & Grocery,online,2,1751.81,3503.62
10016,431397,2023-07-05,2023,7,Wednesday,Krave Mart,Krave Mart - Grocery Pack #778,Stores & Grocery,online,2,3132.92,6265.84
10017,431397,2023-06-17,2023,6,Saturday,Pizza Max,Pizza Max - Combo #715,Food & Restaurants,online,2,964.24,1928.48
10018,431397,2023-06-30,2023,6,Friday,foodpanda,foodpanda - Platter #349,Food & Restaurants,online,1,1872.22,1872.22
10019,437577,2023-07-09,2023,7,Sunday,foodpanda,foodpanda - Special #160,Food & Restaurants,online,1,1016.12,1016.12
10020,437577,2023-07-14,2023,7,Friday,foodpanda,foodpanda - Combo #981,Food & Restaurants,online,1,789.66,789.66
10021,442697,2023-05-27,2023,5,Saturday,Daraz,Daraz - Gadget #105,Market Place,online,2,15000.0,30000.0
10022,442768,2023-07-22,2023,7,Saturday,Dvago,Dvago - Electronics #390,Health & Fitness,instore,1,2411.78,2411.78
10023,442768,2023-07-03,2023,7,Monday,Bin Hashim,Bin Hashim - Grocery Pack #368,Stores & Grocery,online,1,4292.51,4292.51
10024,442768,2023-07-09,2023,7,Sunday,Daraz,Daraz - Gadget #619,Market Place,online,3,3801.21,11403.630000000001
10025,442768,2023-07-10,2023,7,Monday,Daraz,Daraz - Gadget #827,Market Place,online,2,5903.24,11806.48
10026,442768,2023-07-18,2023,7,Tuesday,Daraz,Daraz - Electronics #748,Market Place,online,1,8191.97,8191.97
10027,442768,2023-07-16,2023,7,Sunday,Krave Mart,Krave Mart - Staples Bundle #550,Stores & Grocery,online,2,2334.07,4668.14
10028,442768,2023-06-29,2023,6,Thursday,Saeed Ghani,Saeed Ghani - Electronics #997,"Health, Beauty & Gifts",online,1,2594.3,2594.3
10029,444056,2023-07-23,2023,7,Sunday,foodpanda,foodpanda - Platter #081,Food & Restaurants,online,2,1184.93,2369.86
